867 3
1 11 125
1 12 95
2 21 95
1 13 95
3 31 95
1 14 95
1 15 95
4 41 95
1 11 95
1 12 95
2 22 95
1 13 95
3 32 95
1 14 95
1 15 95
4 42 95
1 11 95
1 12 95
2 21 95
1 13 95
3 31 95
1 14 95
1 15 95
4 41 95
1 11 95
1 12 95
2 22 95
1 13 95
3 32 95
1 14 95
1 15 95
4 42 95
1 11 95
1 12 95
2 21 95
1 13 95
3 31 95
1 14 95
1 15 95
4 41 95
1 11 95
1 12 95
2 22 95
1 13 95
3 32 95
1 14 95
1 15 95
4 42 95
1 11 95
1 12 95
2 21 95
1 13 95
3 31 95
1 14 95
1 15 95
4 41 95
1 11 95
1 12 95
2 22 95
1 13 95
3 32 95
2 23 95
1 14 95
0 1 95 
1 11 125
0 2 1
1 12 95
0 3 1
1 13 255
0 4 1
1 14 95
0 5 1
1 16 255
2 21 1
1 11 95
2 22 1
1 12 255
2 23 1
1 14 95
2 24 1
1 15 255
1 11 95
2 25 95
1 12 95
3 31 95
1 13 95
1 14 95
4 41 95
1 15 95
1 11 95
2 21 95
1 12 95
3 31 95
2 22 95
1 13 95
0 1 95
1 16 120
0 2 1
1 11 95
0 3 1
1 14 255 
0 4 1
1 17 95
0 5 1
2 21 255 
1 12 1
2 22 95
1 13 1
2 23 235
1 14 1
2 24 95
1 16 1
1 15 255
1 11 95
2 25 95
1 12 95
3 31 95
1 13 95
1 14 95
4 41 95
1 15 95
1 11 95
2 21 95
1 12 95
3 31 95
2 22 95
1 13 95
0 1 95
1 14 140
0 2 1
1 15 95
0 3 1
1 11 255
0 4 1
1 12 95
0 5 1
2 21 255
1 13 1
2 22 95
1 14 1
2 23 255
1 15 1
2 24 95
1 11 1
3 31 275
3 32 95
3 33 95
3 34 95
3 35 95
3 36 95
3 37 95
3 38 95
4 41 95
4 42 95
4 43 95
4 44 95
4 45 95
4 46 95
4 47 95
4 48 95
1 11 120
0 1 1
1 12 95
0 2 1
0 3 1050
1 11 95
2 21 95
3 31 95
4 41 95
4 42 95
4 43 95
4 44 95 
4 45 95
4 46 95
4 47 95
4 48 95
4 49 95
4 41 95
4 42 95 
4 43 95 
4 44 95
4 45 95
4 46 95 
4 47 95
0 1 95
3 31 35
3 32 95
3 33 95
3 34 95 
2 21 95
2 22 95
2 23 95
2 24 95
1 11 95
1 12 95
1 13 95
1 14 95
2 25 95
2 26 95
2 27 95
2 28 95
4 42 95
4 43 95
4 44 95 
4 45 95
4 46 95
4 47 95
4 48 95
4 49 95
4 41 95
4 42 95 
4 43 95 
4 44 95
4 45 95
4 46 95 
4 47 95
0 1 95
1 11 35
1 12 95
1 13 95
1 14 95
2 21 95
2 22 95
2 23 95
2 24 95
3 31 95
3 32 95
3 33 95
3 34 95
2 25 95
2 26 95
2 27 95
2 28 95
4 42 95
4 43 95
4 44 95 
4 45 95
4 46 95
4 47 95
4 48 95
4 49 95
4 41 95
4 42 95 
4 43 95 
4 44 95
4 45 95
4 46 95
4 47 95 
1 11 95
1 12 95
2 21 95
1 13 95
3 31 95
1 14 95
1 15 95
4 41 95
1 11 95
1 12 95
2 22 95
1 13 95
3 32 95
2 23 95
1 14 95
0 1 95
4 41 95
4 42 95
4 43 95
4 44 95 
4 45 95
4 46 95
4 47 95
4 48 95
4 49 95
